iter	RMSE
0	14.17815329
1	13.29068903
2	12.45533701
3	11.83420353
4	11.24299567
5	10.62604631
6	10.13930039
7	9.684927775
8	9.260208228
9	8.874173078
10	8.532614549
11	8.201438159
12	7.89528908
13	7.610962996
14	7.402987847
15	7.181008437
16	6.988541664
17	6.814931148
18	6.661809437
19	6.519026727
20	6.384941593
21	6.268942992
22	6.160869651
23	6.078007051
24	5.996518211
25	5.923149337
26	5.848608941
27	5.785663548
28	5.733147884
29	5.682409301
30	5.645160949
31	5.599896799
32	5.562113063
33	5.533599359
34	5.493428335
35	5.456847773
36	5.42134818
37	5.398872593
38	5.373054299
39	5.348143127
40	5.326410424
41	5.31081179
42	5.281912658
43	5.25298223
44	5.241429851
45	5.220558317
46	5.193881057
47	5.175299605
48	5.163104856
49	5.151758795
50	5.137526536
51	5.124832537
52	5.110702174
53	5.097543695
54	5.08205935
55	5.065695557
56	5.05542567
57	5.03084342
58	5.017876862
59	5.005944249
60	4.980518595
61	4.974631202
62	4.963236684
63	4.95105275
64	4.942324567
65	4.933545105
66	4.927919802
67	4.91287809
68	4.903521856
69	4.892038129
70	4.88017833
71	4.866992833
72	4.860903719
73	4.854269645
74	4.839362111
75	4.830151509
76	4.821976586
77	4.812231628
78	4.805051206
79	4.789016927
80	4.779912992
81	4.773643047
82	4.764680108
83	4.764128618
84	4.754933236
85	4.750157459
86	4.745116562
87	4.734647599
88	4.720278583
89	4.707202111
90	4.703507359
91	4.689038445
92	4.679924651
93	4.66976909
94	4.664864379
95	4.659054714
96	4.654609319
97	4.645162571
98	4.630531464
99	4.628562689
