iter	Passed	Remaining
0	1	196
1	3	174
2	5	172
3	6	159
4	8	155
5	10	157
6	12	159
7	14	164
8	16	163
9	18	165
10	19	161
11	21	157
12	22	152
13	24	149
14	26	149
15	28	148
16	29	144
17	31	142
18	33	141
19	34	139
20	36	136
21	38	135
22	39	132
23	41	131
24	42	128
25	44	125
26	45	123
27	46	120
28	48	117
29	49	114
30	50	112
31	51	109
32	52	106
33	53	104
34	55	103
35	57	101
36	58	99
37	59	97
38	60	95
39	62	93
40	63	91
41	64	89
42	65	87
43	66	85
44	67	82
45	68	80
46	71	80
47	72	78
48	73	76
49	75	75
50	76	73
51	77	71
52	78	69
53	79	67
54	81	66
55	82	64
56	83	63
57	85	61
58	86	60
59	87	58
60	89	57
61	90	55
62	91	53
63	92	52
64	94	50
65	95	49
66	96	47
67	97	45
68	99	44
69	101	43
70	103	42
71	104	40
72	105	39
73	107	37
74	108	36
75	109	34
76	110	32
77	111	31
78	112	29
79	114	28
80	116	27
81	117	25
82	119	24
83	119	22
84	121	21
85	122	19
86	123	18
87	124	17
88	126	15
89	127	14
90	129	12
91	130	11
92	132	9
93	133	8
94	135	7
95	136	5
96	137	4
97	138	2
98	140	1
99	141	0
